combattant,date_debut,age_debut,taille_cm,allonge_cm,poids_kg,garde,categorie_debut,cote_debut,adv1,adv1_combats_avant,adv1_pagerank,resultat_debut,methode_debut,nb_combats_total,date_dernier_combat,annee_debut,debut_propre,n_premiers,victoires_3premiers,adv3_combats_moy,adv3_pagerank_moy,adv3_nouveaux,ko_tko_3premiers,soumissions_3premiers,victoires_adv_central_3premiers,frappes_sig_moy_apres3,precision_frappes_apres3,takedowns_moy_apres3,precision_td_apres3,soumissions_tent_moy_apres3,ratio_allonge_taille,au_moins_3_combats,Y_8_combats_plus,dans_cohorte
Phil Davis,2010-04-10,25,187.96,200.66,93.0,Orthodox,Light Heavyweight,-440.0,Alexander Gustafsson,1,,V,SUB,11,2015-01-24,2010,0,3,3.0,2.6667,,0.0,0.0,2.0,0.0,38.5,0.578,2.25,0.675,1.0,1.068,1,1,0
Nick Osipczak,2010-04-10,25,187.96,193.04,77.1,Orthodox,Welterweight,145.0,Rick Story,3,,D,S-DEC,3,2010-11-13,2010,0,3,0.0,2.6667,,0.0,0.0,0.0,0.0,,,,,,1.027,1,0,0
Rick Story,2010-04-10,25,175.26,180.34,77.1,Southpaw,Welterweight,-165.0,Nick Osipczak,2,,V,S-DEC,16,2016-08-20,2010,0,3,3.0,4.6667,,0.0,1.0,0.0,0.0,41.1667,0.405,2.8333,0.685,1.5,1.029,1,1,0
DaMarques Johnson,2010-04-10,27,185.42,190.5,77.1,Orthodox,Welterweight,140.0,Brad Blackburn,4,,V,KO/TKO,8,2012-09-29,2010,0,3,2.0,4.0,0.9726,0.0,2.0,1.0,0.0,13.6,0.404,0.2,0.2,0.4,1.027,1,1,0
Brad Blackburn,2010-04-10,32,177.8,185.42,77.1,Orthodox,Welterweight,-160.0,DaMarques Johnson,2,,D,KO/TKO,1,2010-04-10,2010,0,1,,,,,,,,,,,,,1.043,0,0,0
Paul Kelly,2010-04-10,25,175.26,177.8,70.3,Orthodox,Lightweight,220.0,Matt Veach,2,,V,SUB,4,2011-02-05,2010,0,3,2.0,1.6667,,1.0,1.0,1.0,0.0,37.875,0.368,1.125,0.583,1.0,1.014,1,0,0
Matt Veach,2010-04-10,28,180.34,176.53,70.3,Orthodox,Lightweight,-260.0,Paul Kelly,5,,D,SUB,1,2010-04-10,2010,0,1,,,,,,,,,,,,,0.979,0,0,0
Jon Madsen,2010-04-10,30,182.88,182.88,108.9,Orthodox,Heavyweight,-245.0,Mostapha Al-Turk,2,,V,U-DEC,4,2011-03-26,2010,0,3,3.0,1.3333,,1.0,1.0,0.0,0.0,28.25,0.463,1.25,0.688,0.0,1.0,1,0,0
Mostapha Al-Turk,2010-04-10,36,187.96,195.58,111.1,Orthodox,Heavyweight,205.0,Jon Madsen,1,,D,U-DEC,1,2010-04-10,2010,0,1,,,,,,,,,,,,,1.041,0,0,0
Lyoto Machida,2010-05-08,31,185.42,187.96,83.9,Southpaw,Light Heavyweight,-190.0,Mauricio Rua,4,,D,KO/TKO,16,2018-05-12,2010,0,3,1.0,11.3333,0.9726,0.0,2.0,0.0,0.0,36.8182,0.589,1.0909,0.423,0.7273,1.014,1,1,0
Mauricio Rua,2010-05-08,28,185.42,193.04,93.0,Orthodox,Light Heavyweight,175.0,Lyoto Machida,8,,V,KO/TKO,19,2023-01-21,2010,0,3,2.0,9.3333,2.1791,0.0,3.0,0.0,0.0,33.5714,0.517,0.8571,0.13,0.2857,1.041,1,1,0
Josh Koscheck,2010-05-08,32,177.8,185.42,77.1,Orthodox,Welterweight,-250.0,Paul Daley,2,,V,U-DEC,9,2015-03-21,2010,0,3,2.0,14.0,1.8167,0.0,1.0,0.0,1.0,18.1053,0.405,1.7895,0.503,0.3684,1.043,1,1,0
Paul Daley,2010-05-08,27,175.26,193.04,77.1,Orthodox,Welterweight,230.0,Josh Koscheck,16,,D,U-DEC,1,2010-05-08,2010,0,1,,,,,,,,,,,,,1.101,0,0,0
Sam Stout,2010-05-08,26,175.26,177.8,70.3,Orthodox,Lightweight,-190.0,Jeremy Stephens,8,,D,S-DEC,12,2015-08-23,2010,0,3,2.0,9.0,1.1625,0.0,1.0,0.0,1.0,56.3636,0.269,0.1818,0.136,0.0909,1.014,1,1,0
Jeremy Stephens,2010-05-08,23,172.72,180.34,65.8,Orthodox,Lightweight,175.0,Sam Stout,8,,V,S-DEC,26,2025-05-03,2010,0,3,2.0,11.0,0.9726,0.0,1.0,0.0,0.0,30.9091,0.448,0.8182,0.373,0.4545,1.044,1,1,0
Kevin Ferguson,2010-05-08,36,187.96,195.58,106.6,Orthodox,Heavyweight,-103.0,Matt Mitrione,1,,D,KO/TKO,1,2010-05-08,2010,0,1,,,,,,,,,,,,,1.041,0,0,0
Matt Mitrione,2010-05-08,31,190.5,200.66,120.2,Switch,Heavyweight,-107.0,Kevin Ferguson,1,,V,KO/TKO,13,2016-01-17,2010,0,3,3.0,2.3333,0.5257,0.0,2.0,0.0,0.0,37.5,0.57,0.0,0.0,1.0,1.053,1,1,0
